postal,blk_no_RD_name
398614,1 LOR 24 GEYLANG
398721,1 LOR 20 GEYLANG
629875,1 BENOI RD
439731,1 BOSCOMBE RD
659592,1 BT BATOK ST 22
618292,1 BUROH LANE
768069,7 CANBERRA DR
768070,9 CANBERRA DR
768071,11 CANBERRA DR
768073,15 CANBERRA DR
768074,17 CANBERRA DR
768075,19 CANBERRA DR
768077,23 CANBERRA DR
768078,25 CANBERRA DR
768101,1 CANBERRA DR
768102,3 CANBERRA DR
768103,5 CANBERRA DR
486058,1 CHANGI BUSINESS PK AVE 1
498789,1 CHANGI NTH ST 1
486070,1 CHANGI STH LANE
249807,1 CHATSWORTH PK
679443,1 CHESTNUT CL
679119,1 CHESTNUT TER
359661,1 CLIFTON VALE
789872,1 COUNTRYSIDE PL
789767,1 COUNTRYSIDE RD
539540,1 DEFU AVE 1
109841,1 DEPOT CL
400001,1 EUNOS CRES
49246,1 FINLAYSON GREEN
629728,1 FIRST LOK YANG RD
428471,1 FOWLIE RD
349544,1 GENTING LANE
258896,1 GOODWOOD HILL
489572,1 GUAN SOON AVE
399870,1 GUILLEMARD LANE
271001,1 HOLLAND CL
209037,1 JLN BERSEH
159402,1 JLN KILANG
359155,1 JLN LATEH
368888,1 JLN MELATI
628942,1 JOO KOON WAY
339263,1 KALLANG JUNCTION
339211,1 KALLANG PL
349276,1 KALLANG SECTOR
248922,1 KAY SIANG RD
457023,1 KEE SUN AVE
89109,1 KEONG SAIK RD
466042,1 KEW CRES
467993,1 KEW DR
466034,1 KEW TER
628818,1 KIAN TECK DR
426887,1 KUO CHUAN AVE
417530,1 LENGKONG LIMA
288682,1 LINDEN DR
536299,1 LOR PAYA LEBAR
438039,1 MARGATE RD
556602,1 MARLENE AVE
200001,1 MAUDE RD
308143,1 MOULMEIN RISE
536196,1 NEW INDUSTRIAL RD
128461,1 PANDAN CRES
627576,1 PIONEER TURN
367981,1 PLAYFAIR RD
437487,1 POOLE RD
535814,1 ROCHDALE RD
807505,1 SARACA DR
266675,1 SECOND AVE
466889,1 SENNETT LANE
628128,1 SHIPYARD RD
786162,1 SPRINGSIDE CRES
786932,1 SPRINGSIDE GREEN
786404,1 SPRINGSIDE PL
786224,1 SPRINGSIDE RD
535233,1 TAI KENG TER
276337,1 TAMAN WARNA
639125,1 TUAS AVE 10
638481,1 TUAS RD
58400,1 UPP CIRCULAR RD
266547,1 VICTORIA PK CL
738972,1 WOODLANDS AVE 8
768923,1 YISHUN AVE 7
